Source,Target,Weight,Type
PCAL,PCAL,6,chemical
PCAL,PCBL,43,chemical
PCAL,PVV,7,chemical
PCAL,PVX,113,chemical
PCAL,CA06,1,chemical
PCAL,CP01,2,chemical
PCAL,CP02,4,chemical
PCAL,CP03,11,chemical
PCAL,CP04,11,chemical
PCAL,CP05,2,chemical
PCAL,CP07,32,chemical
PCAL,CP08,10,chemical
PCAL,aobL,22,chemical
PCAL,pobL,11,chemical
PCAL,gecL,6,chemical
PCAL,grtL,11,chemical
PCAR,AVG,8,chemical
PCAR,AVHL,1,chemical
PCAR,AVAL,1,chemical
PCAR,LUAR,4,chemical
PCAR,PDB,1,chemical
PCAR,R8AL,21,chemical
PCAR,R8AR,71,chemical
PCAR,R8BR,1,chemical
PCAR,R9AR,14,chemical
PCAR,HOA,8,chemical
PCAR,HOB,4,chemical
PCAR,PCAL,4,chemical
PCAR,PCBR,67,chemical
PCAR,PVV,10,chemical
PCAR,PVX,160,chemical
PCAR,PVY,6,chemical
PCAR,CA05,2,chemical
PCAR,CA06,10,chemical
PCAR,CP06,1,chemical
PCAR,CP07,35,chemical
PCAR,CP08,43,chemical
PCAR,aobR,22,chemical
PCAR,pobR,34,chemical
PCAR,gecR,10,chemical
PCAR,grtR,2,chemical
PCBL,PHBL,1,chemical
PCBL,LUAL,17,chemical
PCBL,anal,3,chemical
PCBL,R2BL,3,chemical
PCBL,R3BR,5,chemical
PCBL,R8AL,4,chemical
PCBL,HOB,1,chemical
PCBL,PCAL,15,chemical
PCBL,PCBR,2,chemical
PCBL,PCCL,13,chemical
PCBL,PCCR,6,chemical
PCBL,SPCL,18,chemical
PCBL,PVX,8,chemical
PCBL,PVY,21,chemical
PCBL,PVZ,6,chemical
PCBL,DX1,1,chemical
PCBL,DX3,4,chemical
PCBL,CA06,19,chemical
PCBL,CP02,4,chemical
PCBL,CP03,18,chemical
PCBL,CP04,3,chemical
PCBL,CP05,15,chemical
PCBL,CP07,8,chemical
PCBL,aobL,48,chemical
PCBL,pobL,24,chemical
PCBL,gecL,5,chemical
PCBL,grtL,1,chemical
PCBL,gonad,15,chemical
PCBR,LUAL,2,chemical
PCBR,LUAR,38,chemical
PCBR,dBWMR24,1,chemical
PCBR,sph,7,chemical
PCBR,R2BR,3,chemical
PCBR,R4BR,6,chemical
PCBR,R7BR,3,chemical
PCBR,R8AR,6,chemical
PCBR,R9AR,2,chemical
PCBR,HOA,3,chemical
PCBR,HOB,5,chemical
PCBR,PCAR,14,chemical
PCBR,PCBL,2,chemical
PCBR,PCCR,8,chemical
PCBR,SPCR,5,chemical
PCBR,PVV,1,chemical
PCBR,PVX,5,chemical
PCBR,PVY,32,chemical
PCBR,PVZ,10,chemical
PCBR,EF2,1,chemical
PCBR,CA05,18,chemical
PCBR,CA06,18,chemical
PCBR,CP04,17,chemical
PCBR,dglR8,1,chemical
PCBR,aobR,71,chemical
PCBR,pobR,56,chemical
PCBR,gecR,15,chemical
PCBR,grtR,4,chemical
PCBR,gonad,10,chemical
PCCL,R2BR,11,chemical
PCCL,PCBL,11,chemical
PCCL,PCCR,1,chemical
PCCL,SPCL,25,chemical
PCCL,SPCR,14,chemical
PCCL,SPVR,9,chemical
PCCL,CA05,7,chemical
PCCL,CP05,4,chemical
PCCL,CP06,15,chemical
PCCL,aobL,21,chemical
PCCL,pobL,24,chemical
PCCL,gonad,121,chemical
PCCR,HOB,7,chemical
PCCR,PCBL,13,chemical
PCCR,PCBR,9,chemical
PCCR,PCCL,2,chemical
PCCR,SPCR,14,chemical
PCCR,SPVL,3,chemical
PCCR,CA06,1,chemical
PCCR,CP04,6,chemical
PCCR,CP05,1,chemical
PCCR,CP06,4,chemical
PCCR,pobR,21,chemical
PCCR,gonad,122,chemical
SPCL,dBWML23,2,chemical
SPCL,anal,15,chemical
SPCL,R2BL,1,chemical
SPCL,HOB,5,chemical
SPCL,PCBL,2,chemical
SPCL,PCCL,3,chemical
SPCL,PVZ,1,chemical
SPCL,DVF,2,chemical
SPCL,DX3,2,chemical
SPCL,CA06,4,chemical
SPCL,CP05,6,chemical
SPCL,CP06,7,chemical
SPCL,dspL,31,chemical
SPCL,vspL,24,chemical
SPCL,gonad,14,chemical
SPCR,LUAR,3,chemical
SPCR,PDB,5,chemical
SPCR,anal,2,chemical
SPCR,R2BR,6,chemical
SPCR,HOB,17,chemical
SPCR,PCBR,1,chemical
SPCR,PCCL,8,chemical
SPCR,PCCR,3,chemical
SPCR,SPDR,6,chemical
SPCR,CA05,11,chemical
SPCR,CA06,9,chemical
SPCR,CP01,6,chemical
SPCR,CP04,7,chemical
SPCR,CP05,7,chemical
SPCR,CP06,23,chemical
SPCR,dspR,27,chemical
SPCR,vspR,8,chemical
SPCR,gonad,36,chemical
SPDL,DVC,1,chemical
SPDL,PVPL,4,chemical
SPDL,DD06,12,chemical
SPDL,VD12,3,chemical
SPDL,vBWMR21,7,chemical
SPDL,SPDR,33,chemical
SPDL,SPVL,2,chemical
SPDL,SPVR,6,chemical
SPDL,PVZ,21,chemical
SPDL,PGA,1,chemical
SPDL,CA05,5,chemical
SPDL,CA06,3,chemical
SPDL,CP01,7,chemical
SPDL,CP02,12,chemical
SPDL,CP03,4,chemical
SPDL,dglR1,7,chemical
SPDL,ailL,17,chemical
SPDL,ailR,6,chemical
SPDR,DVC,2,chemical
SPDR,PVNL,1,chemical
SPDR,PVPL,1,chemical
SPDR,DD06,5,chemical
SPDR,vBWML20,5,chemical
SPDR,vBWML23,7,chemical
SPDR,vBWMR23,4,chemical
SPDR,SPDL,6,chemical
SPDR,SPVL,3,chemical
SPDR,SPVR,3,chemical
SPDR,PVZ,3,chemical
SPDR,CP02,7,chemical
SPDR,CP03,9,chemical
SPDR,CP04,1,chemical
SPDR,ailL,6,chemical
SPDR,ailR,17,chemical
SPVL,PVDL,1,chemical
SPVL,AVL,3,chemical
SPVL,PVNL,10,chemical
SPVL,PVNR,11,chemical
SPVL,PVPL,2,chemical
SPVL,DD06,36,chemical
SPVL,VD09,1,chemical
SPVL,VD10,10,chemical
SPVL,VD11,8,chemical
SPVL,VD12,20,chemical
SPVL,R9AR,5,chemical
SPVL,SPDL,57,chemical
SPVL,SPDR,38,chemical
SPVL,SPVR,18,chemical
SPVL,PVV,3,chemical
SPVL,PVY,1,chemical
SPVL,PVZ,17,chemical
SPVL,CA05,2,chemical
SPVR,PQR,4,chemical
SPVR,DVC,2,chemical
SPVR,PVNL,5,chemical
SPVR,PVPL,2,chemical
SPVR,PVWR,1,chemical
SPVR,DD05,6,chemical
SPVR,DD06,25,chemical
SPVR,VD10,4,chemical
SPVR,VD11,10,chemical
SPVR,R8AL,5,chemical
SPVR,SPCR,10,chemical
SPVR,SPDL,58,chemical
SPVR,SPDR,55,chemical
SPVR,SPVL,11,chemical
SPVR,PVV,5,chemical
SPVR,PVZ,9,chemical
SPVR,EF1,10,chemical
SPVR,CA05,2,chemical
SPVR,CP04,2,chemical
SPVR,CP06,1,chemical
PVV,PVDR,1,chemical
PVV,AVFL,1,chemical
PVV,AVFR,9,chemical
PVV,AVG,8,chemical
PVV,PVNL,2,chemical
PVV,PVNR,3,chemical
PVV,PVWR,2,chemical
PVV,PVCL,6,chemical
PVV,AVAL,7,chemical
PVV,AVAR,10,chemical
PVV,AVBR,4,chemical
PVV,DD06,8,chemical
PVV,VA12,8,chemical
PVV,VB11,4,chemical
PVV,VD10,2,chemical
PVV,VD11,3,chemical
PVV,VD12,8,chemical
PVV,VD13,26,chemical
PVV,vBWML22,16,chemical
PVV,vBWMR21,2,chemical
PVV,vBWMR23,18,chemical
PVV,R1AL,4,chemical
PVV,R1BR,2,chemical
PVV,R3AL,3,chemical
PVV,R3AR,2,chemical
PVV,R7AL,2,chemical
PVV,R7BL,1,chemical
PVV,R7BR,1,chemical
PVV,R9AR,3,chemical
PVV,SPVL,3,chemical
PVV,SPVR,2,chemical
PVV,PVV,4,chemical
PVV,PVX,1,chemical
PVV,PVY,3,chemical
PVV,PVZ,6,chemical
PVV,EF2,1,chemical
PVV,PDC,1,chemical
PVV,CA04,9,chemical
PVV,CP07,4,chemical
PVV,CP08,1,chemical
PVV,dglR3,3,chemical
PVV,ailR,3,chemical
PVX,PQR,13,chemical
PVX,AVFL,1,chemical
PVX,AVFR,2,chemical
PVX,AVG,3,chemical
PVX,AVAL,32,chemical
PVX,AVAR,21,chemical
PVX,AVBL,8,chemical
PVX,AVBR,18,chemical
PVX,AVDL,4,chemical
PVX,AVDR,4,chemical
PVX,LUAL,3,chemical
PVX,DA04,2,chemical
PVX,DA06,1,chemical
PVX,DB06,14,chemical
PVX,DB07,16,chemical
PVX,AS08,1,chemical
PVX,AS11,5,chemical
PVX,DD06,10,chemical
PVX,hyp,5,chemical
PVX,R3AL,1,chemical
PVX,R3BL,1,chemical
PVX,PCAR,4,chemical
PVX,PVY,5,chemical
PVY,AVAL,30,chemical
PVY,AVBR,3,chemical
PVY,DB07,20,chemical
PVY,DD06,1,chemical
PVY,VB10,1,chemical
PVY,VB11,10,chemical
PVY,vBWML22,1,chemical
PVY,vBWMR21,1,chemical
PVY,PVX,3,chemical
PVY,PVY,5,chemical
PVY,EF3,1,chemical
PVZ,PVDL,1,chemical
PVZ,AVG,1,chemical
PVZ,DD03,1,chemical
PVZ,DD04,1,chemical
PVZ,DD05,22,chemical
PVZ,DD06,12,chemical
PVZ,VA10,1,chemical
PVZ,VA11,2,chemical
PVZ,VA12,1,chemical
PVZ,VB06,2,chemical
PVZ,VB07,1,chemical
PVZ,VD09,4,chemical
PVZ,VD10,11,chemical
PVZ,VD11,21,chemical
PVZ,VD12,10,chemical
PVZ,VD13,7,chemical
PVZ,vBWML19,10,chemical
PVZ,vBWML20,13,chemical
PVZ,vBWML21,2,chemical
PVZ,vBWML22,7,chemical
PVZ,vBWML23,2,chemical
PVZ,vBWMR18,2,chemical
PVZ,vBWMR19,33,chemical
PVZ,vBWMR20,9,chemical
PVZ,vBWMR21,21,chemical
PVZ,R1BR,1,chemical
PVZ,PVV,1,chemical
PVZ,EF2,1,chemical
PVZ,CA05,1,chemical
PVZ,CA06,3,chemical
PVZ,CP01,1,chemical
PVZ,CP03,3,chemical
PVZ,CP04,6,chemical
PVZ,CP05,1,chemical
PVZ,dglL1,4,chemical
PVZ,dglR1,2,chemical
PVZ,dglR2,4,chemical
PVZ,dglR3,3,chemical
PVZ,ailL,6,chemical
PVZ,ailR,16,chemical
DVE,AVG,4,chemical
DVE,AVL,6,chemical
DVE,DVB,1,chemical
DVE,DVC,1,chemical
DVE,PDB,1,chemical
DVE,HOB,14,chemical
DVE,PCAL,2,chemical
DVE,PCCR,16,chemical
DVE,SPCR,17,chemical
DVE,SPVL,2,chemical
DVE,SPVR,12,chemical
DVE,DVF,5,chemical
DVE,DX3,16,chemical
DVE,EF1,21,chemical
DVE,EF2,24,chemical
DVE,EF3,2,chemical
DVE,CA06,3,chemical
DVE,CP04,5,chemical
DVE,CP05,22,chemical
DVE,CP06,7,chemical
DVE,CP07,3,chemical
DVE,CP08,1,chemical
DVE,vspR,3,chemical
DVE,gonad,1,chemical
DVF,AVG,1,chemical
DVF,AVHL,2,chemical
DVF,AVL,1,chemical
DVF,DVB,3,chemical
DVF,DVC,3,chemical
DVF,PVPL,3,chemical
DVF,PVQL,1,chemical
DVF,PVQR,3,chemical
DVF,DD04,4,chemical
DVF,DD06,1,chemical
DVF,VD11,3,chemical
DVF,VD12,2,chemical
DVF,vBWML17,1,chemical
DVF,HOA,1,chemical
DVF,HOB,21,chemical
DVF,PCBL,6,chemical
DVF,PCCL,5,chemical
DVF,SPCL,28,chemical
DVF,SPVL,1,chemical
DVF,SPVR,1,chemical
DVF,PVV,4,chemical
DVF,PVZ,1,chemical
DVF,DVE,5,chemical
DVF,EF1,3,chemical
DVF,CA05,1,chemical
DVF,CP04,1,chemical
DVF,CP05,16,chemical
DVF,CP06,11,chemical
DVF,CP07,3,chemical
DVF,CP08,2,chemical
DVF,CP09,4,chemical
DX1,PHAL,2,chemical
DX1,AVFR,1,chemical
DX1,R9AL,1,chemical
DX1,HOA,14,chemical
DX1,PCAL,23,chemical
DX2,R3BL,12,chemical
DX2,HOA,4,chemical
DX2,HOB,8,chemical
DX2,PCAR,26,chemical
DX2,PVV,14,chemical
DX2,PVZ,9,chemical
DX2,DX2,1,chemical
DX2,EF1,5,chemical
DX3,PHBL,2,chemical
DX3,PDB,2,chemical
DX3,R3BR,4,chemical
DX3,R9AL,8,chemical
DX3,HOA,1,chemical
DX3,HOB,2,chemical
DX3,PCAL,23,chemical
DX3,PCCL,1,chemical
DX3,SPCL,1,chemical
DX3,DX1,11,chemical
DX3,EF3,4,chemical
EF1,RIFR,3,chemical
EF1,AVFR,2,chemical
EF1,AVBR,8,chemical
EF1,DD06,1,chemical
EF1,R2AL,1,chemical
EF1,R9BL,1,chemical
EF1,EF3,3,chemical
EF2,RIFR,14,chemical
EF2,AVFL,1,chemical
EF2,AVFR,2,chemical
EF2,PVQR,20,chemical
EF2,PVCR,1,chemical
EF2,PDB,1,chemical
EF2,CEMVR,1,chemical
EF2,MCMR,14,chemical
EF2,R1BR,2,chemical
EF2,R4BR,1,chemical
EF2,R5BR,5,chemical
EF2,R6BR,6,chemical
EF2,R7BR,2,chemical
EF2,PVV,2,chemical
EF2,EF1,2,chemical
EF2,EF2,1,chemical
EF2,EF3,14,chemical
EF2,CP04,1,chemical
EF3,RIBR,1,chemical
EF3,RIFR,18,chemical
EF3,AVFR,8,chemical
EF3,AVBR,31,chemical
EF3,SMBVR,1,chemical
EF3,CEMVR,3,chemical
EF3,MCMR,25,chemical
PDC,DA08,2,chemical
PDC,PDA,5,chemical
PDC,AS11,3,chemical
PDC,PDB,4,chemical
PDC,DD06,12,chemical
PDC,VD12,4,chemical
PDC,VD13,12,chemical
PDC,dBWML21,3,chemical
PDC,dBWML22,5,chemical
PDC,dBWML23,2,chemical
PDC,dBWMR24,2,chemical
PDC,R6AL,1,chemical
PDC,R7AL,1,chemical
PDC,PDC,1,chemical
PDC,PGA,1,chemical
PGA,AVG,2,chemical
PGA,PVNL,4,chemical
PGA,PDB,4,chemical
PGA,R3BR,4,chemical
PGA,R6AR,3,chemical
PGA,R7AR,2,chemical
PGA,R7BL,1,chemical
PGA,R7BR,6,chemical
PGA,R9AL,3,chemical
PGA,R9BL,4,chemical
PGA,R9BR,5,chemical
PGA,HOA,2,chemical
PGA,PVX,2,chemical
PGA,DVE,4,chemical
PGA,DX3,3,chemical
PGA,EF1,9,chemical
PGA,EF2,5,chemical
PGA,PGA,1,chemical
PGA,CP01,1,chemical
PGA,CP07,4,chemical
PGA,CP09,3,chemical
CA02,AVL,1,chemical
CA03,AVL,3,chemical
CA03,DVC,1,chemical
CA03,DD04,2,chemical
CA03,DD05,1,chemical
CA03,vBWML17,3,chemical
CA03,vBWMR20,1,chemical
CA03,DVE,3,chemical
CA03,DVF,2,chemical
CA03,CA02,2,chemical
CA03,CA05,3,chemical
CA03,gonad,1,chemical
CA04,hyp,2,chemical
CA04,R2BR,2,chemical
CA04,R4AL,3,chemical
CA04,R4AR,4,chemical
CA04,R6AR,2,chemical
CA04,R7AR,4,chemical
CA04,R7BR,1,chemical
CA04,SPCR,2,chemical
CA04,PVV,13,chemical
CA04,CA05,3,chemical
CA04,ailL,1,chemical
CA05,AVJL,1,chemical
CA05,AVKR,1,chemical
CA05,DVC,4,chemical
CA05,LUAR,6,chemical
CA05,DD05,2,chemical
CA05,vBWML22,1,chemical
CA05,vBWMR18,1,chemical
CA05,intR,2,chemical
CA05,R4BR,3,chemical
CA05,R7BL,1,chemical
CA05,PCBR,8,chemical
CA05,PCCL,5,chemical
CA05,PCCR,2,chemical
CA05,SPCL,2,chemical
CA05,SPCR,4,chemical
CA05,SPDL,1,chemical
CA05,SPDR,1,chemical
CA05,SPVR,5,chemical
CA05,PVX,1,chemical
CA05,PVZ,6,chemical
CA05,EF2,1,chemical
CA05,CA03,1,chemical
CA05,CP03,3,chemical
CA05,CP04,4,chemical
CA05,ailL,2,chemical
CA06,AVJL,1,chemical
CA06,DD06,1,chemical
CA06,PCAR,3,chemical
CA06,PCBL,5,chemical
CA06,PCBR,4,chemical
CA06,PCCR,1,chemical
CA06,SPCL,2,chemical
CA06,SPCR,1,chemical
CA06,PVZ,1,chemical
CA06,CA05,3,chemical
CA06,CP01,4,chemical
CA06,CP02,2,chemical
CA06,CP03,6,chemical
CA06,CP04,8,chemical
CA06,CP05,1,chemical
CA06,CP06,1,chemical
CA07,PHBL,1,chemical
CA07,PHBR,1,chemical
CA07,AVG,4,chemical
CA07,AVHL,1,chemical
CA07,AVHR,3,chemical
CA07,AVJR,1,chemical
CA07,LUAL,1,chemical
CA07,hyp,3,chemical
CA07,HOA,1,chemical
CA07,SPVR,1,chemical
CA07,CA04,1,chemical
CA07,CA08,1,chemical
CA08,AVKR,1,chemical
CA08,DD05,2,chemical
CA08,VA10,1,chemical
CA08,VB10,1,chemical
CA08,VD09,1,chemical
CA08,VD10,1,chemical
CA08,vBWML17,1,chemical
CA08,vBWML20,3,chemical
CA08,hyp,3,chemical
CA08,EF2,2,chemical
CA08,CA07,3,chemical
CA08,CA08,3,chemical
CA08,CP07,1,chemical
CA08,gonad,3,chemical
CA09,vBWML22,1,chemical
CA09,vBWMR21,1,chemical
CA09,hyp,2,chemical
CA09,EF3,1,chemical
CA09,CA07,1,chemical
CA09,CA08,2,chemical
CA09,CA09,1,chemical
CA09,dglL2,4,chemical
CP01,vBWMR21,3,chemical
CP01,vBWMR23,5,chemical
CP01,SPDL,1,chemical
CP01,CA05,2,chemical
CP01,CA06,2,chemical
CP01,CP02,13,chemical
CP01,CP03,5,chemical
CP01,dglR1,1,chemical
CP01,dglR2,6,chemical
CP01,ailL,5,chemical
CP01,ailR,7,chemical
CP02,vBWML22,5,chemical
CP02,vBWMR21,7,chemical
CP02,intL,2,chemical
CP02,PCAL,1,chemical
CP02,SPDR,1,chemical
CP02,DVF,2,chemical
CP02,DX1,1,chemical
CP02,CP01,3,chemical
CP02,CP03,14,chemical
CP02,CP04,9,chemical
CP02,dglR2,1,chemical
CP02,ailL,1,chemical
CP02,ailR,11,chemical
CP03,vBWML21,2,chemical
CP03,vBWML22,2,chemical
CP03,vBWMR21,4,chemical
CP03,SPDR,2,chemical
CP03,CP02,7,chemical
CP03,CP04,8,chemical
CP03,ailL,6,chemical
CP03,ailR,7,chemical
CP04,AVJL,1,chemical
CP04,DD04,2,chemical
CP04,DD05,15,chemical
CP04,DD06,3,chemical
CP04,vBWML17,1,chemical
CP04,vBWML19,5,chemical
CP04,vBWML20,6,chemical
CP04,vBWML22,10,chemical
CP04,vBWMR19,15,chemical
CP04,vBWMR20,4,chemical
CP04,vBWMR21,5,chemical
CP04,vBWMR23,2,chemical
CP04,PCCR,6,chemical
CP04,SPCR,1,chemical
CP04,CP02,5,chemical
CP04,CP03,7,chemical
CP04,CP06,2,chemical
CP04,dglR1,2,chemical
CP04,ailL,2,chemical
CP04,ailR,12,chemical
CP04,gonad,9,chemical
CP05,AVG,3,chemical
CP05,AVL,2,chemical
CP05,DVB,6,chemical
CP05,PVPL,2,chemical
CP05,PVQR,1,chemical
CP05,DD04,1,chemical
CP05,vBWML22,6,chemical
CP05,vBWMR24,8,chemical
CP05,HOB,7,chemical
CP05,PCBL,17,chemical
CP05,PCCL,4,chemical
CP05,SPCL,3,chemical
CP05,SPCR,12,chemical
CP05,SPVL,10,chemical
CP05,PVZ,10,chemical
CP05,DVE,7,chemical
CP05,DVF,1,chemical
CP05,EF1,6,chemical
CP05,EF3,4,chemical
CP05,CA03,1,chemical
CP05,CA05,14,chemical
CP05,CA06,2,chemical
CP05,CP01,14,chemical
CP05,CP04,9,chemical
CP05,CP06,37,chemical
CP05,CP07,6,chemical
CP05,dglR1,2,chemical
CP05,aobL,2,chemical
CP05,pobL,10,chemical
CP05,ailR,3,chemical
CP05,vspL,5,chemical
CP05,gonad,46,chemical
CP06,AVL,3,chemical
CP06,DVB,2,chemical
CP06,vBWMR23,1,chemical
CP06,intR,2,chemical
CP06,HOB,10,chemical
CP06,PCBL,7,chemical
CP06,PCCL,5,chemical
CP06,PCCR,5,chemical
CP06,SPCR,4,chemical
CP06,SPVL,14,chemical
CP06,PVZ,2,chemical
CP06,DVE,4,chemical
CP06,DVF,2,chemical
CP06,EF2,5,chemical
CP06,EF3,2,chemical
CP06,CA06,5,chemical
CP06,CP01,8,chemical
CP06,CP03,2,chemical
CP06,CP04,6,chemical
CP06,CP05,21,chemical
CP06,dglR1,4,chemical
CP06,aobL,8,chemical
CP06,aobR,8,chemical
CP06,pobL,2,chemical
CP06,pobR,7,chemical
CP06,ailL,6,chemical
CP06,ailR,4,chemical
CP06,vspL,18,chemical
CP06,vspR,9,chemical
CP06,gonad,43,chemical
CP07,AVG,1,chemical
CP07,DVC,3,chemical
CP07,PVNR,3,chemical
CP07,DA08,7,chemical
CP07,AS11,6,chemical
CP07,PDB,41,chemical
CP07,R2AL,1,chemical
CP07,R2AR,5,chemical
CP07,R3BL,10,chemical
CP07,R6AR,18,chemical
CP07,R7AR,5,chemical
CP07,R8AR,5,chemical
CP07,R9AR,9,chemical
CP07,PVV,39,chemical
CP07,PVX,53,chemical
CP07,PVZ,3,chemical
CP07,EF1,1,chemical
CP07,EF2,9,chemical
CP07,EF3,2,chemical
CP07,CP07,9,chemical
CP07,CP09,3,chemical
CP08,PVNL,4,chemical
CP08,PDB,44,chemical
CP08,R2AL,3,chemical
CP08,R2AR,11,chemical
CP08,R6AL,7,chemical
CP08,R6AR,4,chemical
CP08,R7AL,8,chemical
CP08,R7AR,2,chemical
CP08,PCAL,1,chemical
CP08,PCAR,3,chemical
CP08,PVV,18,chemical
CP08,PVX,44,chemical
CP08,CP09,5,chemical
CP09,AS11,1,chemical
CP09,PDB,67,chemical
CP09,R3BL,11,chemical
CP09,R3BR,8,chemical
CP09,R6AL,16,chemical
CP09,R6AR,19,chemical
CP09,R7AL,1,chemical
CP09,R7AR,26,chemical
CP09,R7BL,8,chemical
CP09,R8AL,11,chemical
CP09,R9AL,8,chemical
CP09,R9AR,2,chemical
CP09,R9BL,3,chemical
CP09,R9BR,8,chemical
CP09,HOA,1,chemical
CP09,PCAL,2,chemical
CP09,PCBR,3,chemical
CP09,SPDL,2,chemical
CP09,SPVR,1,chemical
CP09,PVV,97,chemical
CP09,PVX,34,chemical
CP09,DVE,1,chemical
CP09,EF2,3,chemical
CP09,PDC,2,chemical
CP09,PGA,4,chemical
CP09,CA04,2,chemical
CP09,CP07,41,chemical
CP09,CP08,39,chemical
CP09,CP09,17,chemical
I1L,I2L,2,electrical
I1L,M3L,2,electrical
I1L,MCR,1,electrical
I1L,NSML,3,electrical
I1L,pm4vl,1,electrical
I1R,I2R,1,electrical
I1R,I3,1,electrical
I1R,MCR,4,electrical
I1R,NSMR,2,electrical
I1R,pm3vr,3,electrical
I1R,pm4vr,2,electrical
I2L,I1L,2,electrical
I2L,I4,1,electrical
I2L,M2L,1,electrical
I2R,I1R,1,electrical
I2R,M1,1,electrical
I2R,M2R,1,electrical
I2R,MCR,1,electrical
I2R,NSMR,2,electrical
I3,I1R,1,electrical
I3,M1,1,electrical
I3,MI,1,electrical
I3,pm4d,3,electrical
I3,pm5d,1,electrical
I4,I2L,1,electrical
I4,M2R,2,electrical
I4,M4,1,electrical
I4,pm5vl,1,electrical
I5,M2L,1,electrical
I5,M2R,1,electrical
I5,M5,1,electrical
I6,M4,5,electrical
M1,I2R,1,electrical
M1,I3,1,electrical
M1,pm5d,3,electrical
M2L,I2L,1,electrical
M2L,I5,1,electrical
M2L,M4,1,electrical
M2L,MCL,1,electrical
M2L,pm4vl,1,electrical
M2L,pm5vl,1,electrical
M2R,I2R,1,electrical
M2R,I4,2,electrical
M2R,I5,1,electrical
M2R,M3R,1,electrical
M2R,MCR,11,electrical
M2R,MI,5,electrical
M2R,pm5d,1,electrical
M3L,I1L,2,electrical
M3L,NSMR,1,electrical
M3L,pm4d,2,electrical
M3L,pm5d,1,electrical
M3L,pm5vl,1,electrical
M3R,M2R,1,electrical
M3R,NSMR,2,electrical
M3R,pm4vr,1,electrical
M3R,pm5d,1,electrical
M3R,pm5vr,1,electrical
M4,I4,1,electrical
M4,I6,5,electrical
M4,M2L,1,electrical
M4,M4,1,electrical
M4,M5,2,electrical
M4,pm5d,1,electrical
M4,pm5vl,1,electrical
M4,pm5vr,1,electrical
M5,I5,1,electrical
M5,M4,2,electrical
M5,M5,1,electrical
M5,pm5vl,2,electrical
M5,pm6vr,2,electrical
MCL,M2L,1,electrical
MCR,I1L,1,electrical
MCR,I1R,4,electrical
MCR,I2R,1,electrical
MCR,M2R,11,electrical
MI,I3,1,electrical
MI,M2R,5,electrical
MI,pm4d,3,electrical
NSML,I1L,3,electrical
NSML,NSMR,2,electrical
NSMR,I1R,2,electrical
NSMR,I2R,2,electrical
NSMR,M3L,1,electrical
NSMR,M3R,2,electrical
NSMR,NSML,2,electrical
NSMR,pm5d,2,electrical
pm1d,pm2d,2,electrical
pm1vl,pm2vl,2,electrical
pm1vr,pm2vr,2,electrical
pm2d,pm1d,2,electrical
pm2d,pm3d,2,electrical
pm2vl,pm1vl,2,electrical
pm2vl,pm3vl,2,electrical
pm2vr,pm1vr,2,electrical
pm2vr,pm3vr,2,electrical
pm3d,pm2d,2,electrical
pm3d,pm4d,2,electrical
pm3d,mc1dl,2,electrical
pm3d,mc1dr,2,electrical
pm3vl,pm2vl,2,electrical
pm3vl,pm4vl,2,electrical
pm3vl,mc1dl,2,electrical
pm3vl,mc1v,2,electrical
pm3vr,I1R,3,electrical
pm3vr,pm2vr,2,electrical
pm3vr,pm4vr,2,electrical
pm3vr,mc1v,2,electrical
pm4d,I3,3,electrical
pm4d,M3L,2,electrical
pm4d,MI,3,electrical
pm4d,pm3d,2,electrical
pm4d,pm5d,2,electrical
pm4d,mc1dl,2,electrical
pm4d,mc1dr,2,electrical
pm4vl,I1L,1,electrical
pm4vl,M2L,1,electrical
pm4vl,pm3vl,2,electrical
pm4vl,pm5vl,2,electrical
pm4vl,mc1dl,2,electrical
pm4vl,mc1v,2,electrical
pm4vr,I1R,2,electrical
pm4vr,M3R,1,electrical
pm4vr,pm3vr,2,electrical
pm4vr,pm5vr,2,electrical
pm4vr,mc1dr,4,electrical
pm4vr,mc1v,2,electrical
pm5d,I3,1,electrical
pm5d,M1,3,electrical
pm5d,M2R,1,electrical
pm5d,M3L,1,electrical
pm5d,M3R,1,electrical
pm5d,M4,1,electrical
pm5d,NSMR,2,electrical
pm5d,pm4d,2,electrical
pm5d,pm6d,2,electrical
pm5d,mc2dl,2,electrical
pm5d,mc2dr,2,electrical
pm5vl,I4,1,electrical
pm5vl,M2L,1,electrical
pm5vl,M3L,1,electrical
pm5vl,M4,1,electrical
pm5vl,M5,2,electrical
pm5vl,pm4vl,2,electrical
pm5vl,pm6vl,2,electrical
pm5vl,mc2dl,2,electrical
pm5vl,mc2v,2,electrical
pm5vr,M3R,1,electrical
pm5vr,M4,1,electrical
pm5vr,pm4vr,2,electrical
pm5vr,pm6vr,2,electrical
pm5vr,mc2dr,2,electrical
pm5vr,mc2v,2,electrical
pm6d,pm5d,2,electrical
pm6d,mc3dl,2,electrical
pm6d,mc3dr,2,electrical
pm6vl,pm5vl,2,electrical
pm6vl,mc3dl,2,electrical
pm6vl,mc3v,2,electrical
pm6vr,M5,2,electrical
pm6vr,pm5vr,2,electrical
pm6vr,mc3dr,2,electrical
pm6vr,mc3v,2,electrical
pm7d,pm8,2,electrical
pm7d,mc3dl,2,electrical
pm7d,mc3dr,2,electrical
pm7vl,pm8,2,electrical
pm7vl,mc3dl,2,electrical
pm7vl,mc3v,2,electrical
